감,감ː
독자,독짜
동기,동기
동기,동ː기
동부,동부
동요,동ː요
동창,동창
동포,동포
동화,동ː화
뒤편,뒤ː편
뒷산,뒤ː싼
등기,등기
등장,등장
땅콩,땅콩
뚜껑,뚜껑
만점,만쩜
만족,만족
말기,말기
말투,말ː투
매장,매ː장
매점,매ː점
매진,매ː진
매체,매체
맨발,맨발
먼지,먼지
면도,면ː도
면적,면ː적
면접,면ː접
면허,면ː허
멸치,멸치
명함,명함
모자,모ː자
모집,모집
모험,모ː험
몸살,몸살
몸속,몸쏙
묘사,묘ː사
무대,무ː대
무역,무ː역
문법,문뻡
문병,문ː병
문서,문서
문자,문짜
문장,문장
문학,문학
물가,물까
물감,물깜
물기,물끼
미소,미소
미술,미ː술
미혼,미ː혼
믿음,미듬
바둑,바둑
바위,바위
바퀴,바퀴
반값,반ː갑
반달,반ː달
반복,반ː복
반장,반장
반죽,반죽
반팔,반ː팔
반품,반ː품
발급,발급
발등,발뜽
발톱,발톱
발표,발표
발행,발행
밤색,밤ː색
배구,배구
배꼽,배꼽
배송,배ː송
배웅,배웅
배편,배편
뱃속,배쏙
버섯,버섣
번개,번개
번역,버녁
범위,버ː뮈
법원,버붠
법적,법쩍
베개,베개
변비,변비
보고,보ː고
보기,보기
보도,보ː도
보리,보리
보석,보ː석
보수,보ː수
보안,보ː안
보전,보ː전
보존,보ː존
보험,보ː험
복용,보굥
볶음,보끔
본부,본부
봉지,봉지
부근,부ː근
부담,부ː담
부상,부ː상
부서,부서
부위,부위
부자,부자
부정,부정
부처,부처
부품,부품
분단,분단
분포,분포
분필,분필
불교,불교
불쾌,불쾌
불평,불평
비결,비ː결
비법,비ː뻡
비용,비ː용
비유,비ː유
비판,비ː판
비행,비행
빨강,빨강
사건,사ː껀
사과,사ː과
사기,사기
사내,사내
사립,사립
사막,사막
사무,사ː무
사방,사ː방
사적,사쩍
사표,사표
삭제,삭쩨
산길,산낄
산불,산뿔
산업,사ː넙
상가,상가
상담,상담
상대,상대
상업,상업
상점,상점
상태,상태
새우,새우
새집,새집
생기,생기
서부,서부
선약,서냑
선호,선ː호
설득,설뜩
설치,설치
성과,성꽈
성당,성ː당
성별,성ː별
세대,세ː대
세로,세ː로
세제,세ː제
소감,소ː감
소녀,소ː녀
소독,소독
소득,소ː득
소매,소매
소변,소ː변
소비,소비
소형,소ː형
소화,소화
손끝,손끋
손등,손뜽
손발,손발
손자,손자
손질,손질
손톱,손톱
손해,손ː해
솜씨,솜씨
송이,송이
수다,수ː다
수도,수도
수리,수리
수선,수선
수속,수속
수입,수입
수집,수집
수출,수출
수표,수표
수학,수ː학
수행,수행
순간,순간
순위,수ː뉘
순진,순진
술잔,술짠
승객,승객
승진,승진
승차,승차
승패,승패
시각,시각
시댁,시댁
시력,시ː력
시선,시선
시설,시ː설
시외,시ː외
시중,시ː중
시집,시집
시청,시ː청
시합,시합
시행,시ː행
식욕,시굑
식후,시쿠
신경,신경
신고,신고
신분,신분
신입,시닙
신중,신ː중
신체,신체
신혼,신혼
신화,신화
실감,실감
실업,시럽
실장,실짱
실종,실쫑
실험,실험
싫증,실쯩
심사,심사
심장,심장
심정,심정
싸움,싸움
싼값,싼갑
쓰기,쓰기
아가,아가
아동,아동
아픔,아픔
악화,아콰
안과,안ː꽈
안방,안빵
안부,안부
안약,아ː냑
안주,안주
암기,암ː기
애정,애ː정
야경,야ː경
야근,야ː근
야단,야ː단
야외,야ː외
약혼,야콘
얌전,얌전
양국,양ː국
양보,양ː보
양파,양파
어둠,어둠
어휘,어ː휘
억양,어걍
언급,언급
언덕,언덕
엄격,엄껵
여가,여가
여고,여고
여관,여관
여유,여유
여인,여인
역할,여칼
연간,연간
연고,연ː고
연구,연ː구
연기,연기
연기,연ː기
연봉,연봉
연애,여ː내
연주,연ː주
연체,연체
연출,연ː출
연탄,연ː탄
열정,열쩡
염색,염ː색
영업,영업
예보,예ː보
예선,예ː선
예의,예의
예절,예절
오리,오ː리
오해,오ː해
왕복,왕ː복
외과,외ː꽈
외교,외ː교
외모,외ː모
외식,외ː식
왼발,왼ː발
왼편,왼ː편
요청,요청
용건,용ː껀
용기,용ː기
용어,용ː어
우승,우승
우울,우울
우정,우ː정
우측,우ː측
우편,우편
운반,운ː반
운행,운ː행
위로,위로
위반,위반
위층,위층
유교,유교
유료,유ː료
유적,유적
유통,유통
육지,육찌
은혜,은혜
음반,음반
음주,음ː주
의견,의ː견
의류,의류
의복,의복
의상,의상
의식,의ː식
의식,의식
의심,의심
의욕,의ː욕
이동,이동
이발,이ː발
이별,이ː별
이성,이ː성
이혼,이ː혼
인격,인껵
인도,인도
인정,인정
인체,인체
일대,일때
일등,일뜽
일어,이러
일정,일쩡
일출,일출
일행,일행
읽기,일끼
임시,임시
임신,임ː신
자격,자격
자극,자ː극
자녀,자녀
자막,자막
자매,자매
자본,자본
자살,자살
자원,자원
작업,자겁
잔돈,잔돈
잠옷,자몯
장가,장ː가
장관,장ː관
장점,장쩜
재주,재주
재학,재ː학
저급,저ː급
저울,저울
저장,저ː장
적응,저긍
전국,전국
전통,전통
정답,정ː답
정부,정부
정장,정ː장
정책,정책
제거,제거
제도,제ː도
제사,제ː사
제자,제ː자
제출,제출
제품,제ː품
조리,조리
조상,조상
조언,조ː언
조작,조ː작
존경,존경
존중,존중
종교,종교
좌석,좌ː석
좌우,좌ː우
좌측,좌ː측
주먹,주먹
주방,주방
주택,주ː택
죽음,주금
중고,중고
중급,중급
중단,중단
중독,중독
중부,중부
증거,증거
지불,지불
지붕,지붕
지역,지역
지옥,지옥
지원,지원
지위,지위
지진,지진
지폐,지폐
지혜,지혜
진단,진ː단
진찰,진ː찰
진학,진ː학
진행,진ː행
질병,질병
질투,질투
집안,지반
차도,차도
차로,차로
차비,차비
차선,차선
참가,참가
참석,참석
참여,차며
창가,창까
창고,창고
창구,창구
창밖,창박
창작,창ː작
창조,창ː조
창피,창피
책임,채김
처방,처ː방
천국,천국
천둥,천둥
천장,천장
철도,철또
청혼,청혼
체력,체력
체온,체온
체중,체중
초급,초급
초기,초기
초록,초록
초봄,초봄
초조,초조
초청,초청
추위,추위
추천,추천
출국,출국
출판,출판
충격,충격
충고,충고
충돌,충돌
취업,취ː업
취재,취ː재
친딸,친딸
친정,친정
코피,코피
큰길,큰길
큰딸,큰딸
큰집,큰집
타인,타인
탈출,탈출
탑승,탑씅
태양,태양
통역,통역
통증,통ː쯩
통행,통행
퇴직,퇴ː직
파괴,파ː괴
파도,파도
편견,편견
평균,평균
폭우,포구
표정,표정
품질,품ː질
피로,피로
피부,피부
피서,피ː서
피해,피ː해
필기,필기
핑계,핑계
하숙,하ː숙
하양,하양
하차,하ː차
하품,하품
한자,한ː짜
한쪽,한쪽
할부,할부
항의,항ː의
해결,해ː결
해변,해ː변
해석,해ː석
해소,해ː소
해안,해ː안
햇볕,해뼏
햇살,해쌀
행정,행정
현관,현관
현장,현ː장
호감,호ː감
호두,호두
호박,호ː박
호실,호ː실
호흡,호흡
홍보,홍보
화분,화분
화장,화장
화재,화ː재
화해,화해
환경,환경
환불,환불
활기,활기
회복,회복
회비,회ː비
회식,회ː식
효도,효ː도
효자,효ː자
후식,후ː식
후추,후추
후회,후ː회
휴식,휴식
휴학,휴학
흥분,흥분
가계,가계
가곡,가곡
가공,가공
가담,가담
가동,가동
가상,가ː상
가설,가ː설
가시,가시
가열,가열
가옥,가옥
가책,가ː책
가출,가출
가훈,가훈
간부,간부
간접,간ː접
간첩,간ː첩
갈대,갈때
감격,감ː격
감금,감금
감사,감사
감상,감ː상
감성,감ː성
감촉,감ː촉
감축,감ː축
감탄,감ː탄
감회,감ː회
강간,강ː간
강국,강국
강당,강ː당
강압,강ː압
강점,강쩜
강좌,강ː좌
강풍,강풍
강행,강ː행
강화,강화
개강,개강
개관,개관
개막,개막
개봉,개봉
개설,개설
개업,개업
개요,개ː요
개입,개ː입
개작,개ː작
개정,개ː정
개조,개ː조
개척,개척
개편,개ː편
개표,개표
거금,거ː금
거동,거ː동
거부,거ː부
거액,거ː액
거주,거주
거처,거처
건국,건ː국
건기,건기
건의,거ː늬 
건전,건ː전
걸작,걸짝
검거,검ː거
검소,검ː소
검증,검ː증
검진,검ː진
검찰,검ː찰
게재,게ː재
격언,겨건
견과,견과
견본,견ː본
결별,결별
결의,겨릐
결재,결째
결핍,결핍
결함,결함
겸허,겸허
경관,경관
경보,경ː보
경비,경ː비
경악,경악
경위,경위
경유,경유
경전,경전
경주,경ː주
경직,경직
경청,경청
경품,경ː품
경호,경ː호
계급,계급
계승,계ː승
계열,계ː열
고가,고까
고갈,고갈
고도,고도
고려,고려
고립,고립
고발,고ː발
고비,고비
고소,고ː소
고아,고아
고온,고온
고용,고용
고원,고원
고위,고위
고인,고ː인
고찰,고찰
고체,고체
곤경,곤ː경
곤궁,곤ː궁
곤충,곤충
골치,골치
공경,공경
공고,공고
공군,공군
공약,공약
공예,공예
공유,공ː유
공익,공익
공적,공적
공정,공정
공존,공ː존
공중,공중
공직,공직
공터,공터
공포,공포
공학,공학
과녁,과ː녁
과다,과ː다
과부,과ː부
과열,과ː열
과음,과ː음
관절,관절
관중,관중
관직,관직
관청,관청
관측,관측
관행,관행
광복,광복
광부,광ː부
광업,광ː업
광장,광ː장
교감,교감
교과,교ː과
교섭,교섭
교원,교ː원
교정,교ː정
교제,교제
교직,교ː직
구걸,구걸
구기,구기
구독,구독
구박,구박
구비,구비
구사,구사
구상,구상
구슬,구슬
구애,구애
구어,구ː어
구원,구ː원
구인,구인
구절,구절
구제,구ː제
구직,구직
구청,구청
구출,구ː출
구토,구토
구형,구형
구호,구ː호
국악,구각
국왕,구광
국익,구긱
군밤,군ː밤
군중,군중
굴뚝,굴ː뚝
궁궐,궁궐
궁중,궁중
권익,궈닉
권장,권ː장
권태,권ː태
권투,권ː투
권한,권한
궤도,궤ː도
귀감,귀감
귀족,귀ː족
귀천,귀ː천
규범,규범
규율,규율
규제,규제
금기,금ː기
금속,금속
금전,금전
급등,급뜽
급여,그벼
긍정,긍ː정
긍지,긍ː지
기금,기금
기기,기기
기력,기력
기립,기립
기법,기뻡
기상,기상
기습,기습
기아,기아
기압,기압
기원,기원
기일,기일
기절,기절
기질,기질
기체,기체
기피,기피
기한,기한
기행,기행
기호,기호
김장,김장
까치,까ː치
깡통,깡통
꼬마,꼬마
꼴찌,꼴찌
끈기,끈기
끼니,끼니
낙원,나권
낙후,나쿠
난간,난간
난청,난청
난폭,난ː폭
남극,남극
남색,남색
남한,남한
남향,남향
낭독,낭ː독
낭패,낭ː패
내기,내ː기
내복,내ː복
내심,내ː심
내역,내ː역
내장,내ː장
냇가,내ː까
냉대,냉ː대
냉전,냉ː전
냉정,냉ː정
너비,너비
노사,노사
노예,노예
노화,노ː화
노후,노ː후
논밭,논받
논증,논증
논평,논평
농가,농가
농경,농경
농도,농도
농장,농장
뇌사,뇌사
누이,누이
누전,누ː전
누출,누ː출
눈발,눈ː빨
단가,단까
단결,단결
단군,단군
단돈,단돈
단합,단합
담보,담보
담장,담장
당구,당구
당국,당국
당부,당부
당혹,당혹
대결,대ː결
대금,대ː금
대꾸,대ː꾸
대담,대ː담
대등,대ː등
대륙,대ː륙
대목,대목
대박,대ː박
대본,대본
대북,대ː북
대상,대ː상
대안,대ː안
대양,대ː양
대여,대ː여
대우,대ː우
대인,대ː인
대장,대ː장
대추,대ː추
대피,대ː피
대항,대ː항
댓글,대끌
덩치,덩치
도달,도ː달
도덕,도ː덕
도리,도ː리
도립,도ː립
도매,도매
도박,도박
도약,도약
도태,도태
도표,도표
도피,도피
돌파,돌파
동감,동감
동거,동거
동경,동ː경
동굴,동ː굴
동등,동등
동반,동반
동정,동정
동행,동행
동향,동향
동화,동화
들판,들ː판
등골,등꼴
등교,등교
등반,등반
또래,또래
마감,마감
마비,마비
마취,마취
만병,만ː병
맏이,마지
맏형,마텽
말끝,말ː끋
말단,말딴
망치,망치
매입,매ː입
매장,매장
매출,매ː출
멸종,멸쫑
명복,명복
명중,명ː중
명칭,명칭
명품,명품
모발,모발
모방,모방
모순,모순
모욕,모ː욕
모친,모ː친
모형,모형
몸집,몸찝
묘지,묘ː지
무상,무상
무술,무ː술
무식,무식
무형,무형
문과,문꽈
문구,문꾸
문단,문단
문항,문ː항
문헌,문헌
문형,문형
물자,물짜
물체,물체
물품,물품
미각,미각
미덕,미ː덕
미아,미아
미역,미역
미적,미쩍
미지,미ː지
민간,민간
민박,민박
민주,민주
반감,반ː감
반도,반ː도
반박,반ː박
반주,반ː주
반칙,반ː칙
반항,반ː항
발각,발각
발굴,발굴
발단,발딴
발병,발병
발전,발쩐
발효,발효
밧줄,바쭐
방귀,방ː귀
방범,방범
방어,방어
방치,방ː치
방침,방침
방황,방황
배상,배상
배설,배설
배신,배ː신
배역,배ː역
배제,배제
배출,배출
배출,배ː출
배포,배ː포
배후,배ː후
번창,번창
벌판,벌판
범행,범ː행
법안,버반
벼락,벼락
벽화,벼콰
변기,변기
변덕,변ː덕
변천,변ː천
변호,변ː호
병동,병ː동
병행,병ː행
보건,보ː건
보배,보ː배
보복,보ː복
보상,보ː상
보약,보ː약
보육,보ː육
보증,보증
복원,보권
복학,보칵
본전,본전
부고,부ː고
부과,부ː과
부당,부당
부도,부도
부사,부ː사
부실,부실
부양,부양
부응,부ː응
부인,부ː인
부임,부ː임
부진,부진
부축,부ː축
부패,부ː패
부피,부피
부하,부하
부활,부ː활
북한,부칸
북향,부컁
분기,분기
분담,분담
분배,분배
분유,부뉴
분쟁,분쟁
분출,분ː출
분해,분해
불경,불경
불길,불낄
불우,부루
불의,부릐
불참,불참
불화,불화
불황,불황
붕괴,붕괴
붕대,붕대
비관,비ː관
비료,비ː료
비리,비ː리
비방,비방
비서,비ː서
비염,비ː염
비평,비ː평
비품,비ː품
빈곤,빈곤
빈도,빈도
빈부,빈부
빈칸,빈ː칸
빈혈,빈혈
빙하,빙하
사격,사격
사고,사고
사교,사교
사극,사ː극
사기,사ː기
사리,사ː리
사법,사법
사복,사복
사상,사ː상
사슴,사슴
사원,사원
사유,사ː유
사치,사치
사퇴,사퇴
사형,사ː형
사회,사회
사후,사ː후
산간,산간
산골,산꼴
산하,산하
살균,살균
살해,살해
상봉,상봉
상여,상여
상위,상ː위
상의,상의
상장,상짱
상주,상주
상체,상ː체
상표,상표
새댁,새댁
새싹,새싹
생계,생계
생애,생애
생전,생전
생태,생태
서구,서구
서두,서ː두
서술,서ː술
서신,서신
서열,서ː열
서예,서예
서재,서재
서평,서평
서향,서향
석사,석싸
석탄,석탄
선고,선고
선교,선교
선두,선두
선반,선반
선발,선ː발
선불,선불
선비,선비
선의,서ː늬
선조,선조
선출,선ː출
선행,선행
선행,선ː행
설계,설계
설교,설교
설비,설비
섬유,서뮤
섭외,서뵈
성경,성ː경
성금,성금
성대,성대
성분,성분
성비,성ː비
성품,성ː품
성향,성ː향
성형,성형
세관,세ː관
세균,세ː균
세태,세ː태
세포,세ː포
소동,소동
소매,소ː매
소모,소모
소속,소ː속
소송,소송
소식,소ː식
소신,소ː신
소실,소실
소아,소ː아
소양,소양
소인,소ː인
소장,소ː장
소질,소질
소통,소통
속어,소거
손짓,손찓
송금,송ː금
쇠퇴,쇠퇴
수강,수강
수녀,수녀
수당,수당
수록,수록
수료,수료
수립,수립
수목,수목
수발,수발
수분,수분
수비,수비
수산,수산
수상,수상
수색,수색
수석,수석
수염,수염
수완,수완
수익,수익
수지,수지
수질,수질
수컷,수컫
수필,수필
수학,수학
수해,수해
수험,수험
수혈,수혈
수확,수확
순대,순대
순환,순환
숭배,숭배
스승,스승
승부,승부
승자,승자
시각,시ː각
시립,시ː립
시범,시ː범
시사,시사
시신,시ː신
시인,시ː인
시적,시쩍
시체,시ː체
식용,시굥
신곡,신곡
신의,시ː늬
신자,신ː자
신장,신장
신하,신하
신형,신형
실외,시뢰
실적,실쩍
실직,실찍
실태,실태
실행,실행
실화,실화
심경,심경
심성,심성
심신,심신
심야,시ː먀
심의,시ː믜
쌍방,쌍방
아비,아비
악역,아격
악용,아굥
안건,안ː껀
안달,안달
안도,안도
알뜰,알뜰
암벽,암벽
암시,암ː시
암컷,암컫
암호,암ː호
애착,애ː착
애칭,애ː칭
야광,야ː광
야당,야ː당
야생,야ː생
야영,야ː영
약효,야쿄
얌체,얌체
양가,양ː가
양반,양ː반
양육,양ː육
양질,양질
양초,양초
양측,양ː측
양치,양치
양해,양해
어간,어ː간
어미,어ː미
어순,어ː순
어업,어업
어원,어ː원
어조,어ː조
어투,어ː투
어학,어ː학
억압,어갑
언행,언행
엄살,엄살
여당,여ː당
여류,여류
여사,여사
여야,여ː야
여파,여파
연대,연대
연비,연비
연예,여ː녜
연재,연재
연하,연하
열거,열거
열광,열광
열대,열때
열의,여릐
염증,염쯩
영광,영광
영입,영입
영장,영짱
영재,영재
영토,영토
예배,예배
예전,예ː전
오기,오ː기
오류,오ː류
오줌,오줌
온대,온대
온돌,온돌
완공,완공
완주,완주
완치,완치
완쾌,완쾌
왕궁,왕궁
왕권,왕꿘
왕따,왕따
왕위,왕위
왕자,왕자
왕조,왕조
왜곡,왜곡
외래,외ː래
외무,외ː무
외신,외ː신
외제,외ː제
외화,외ː화
외환,외ː환
요양,요양
요점,요쩜
용기,용기
용법,용ː뻡
용지,용ː지
우기,우ː기
우뇌,우ː뇌
우대,우대
우성,우성
우세,우세
우월,우월
우파,우ː파
원가,원까
원고,원고
원금,원금
원본,원본
원유,워뉴
원작,원작
원장,원장
원조,원ː조
원형,원형
원화,원화
원활,원활
월간,월간
월차,월차
위법,위법
위생,위생
위성,위성
위안,위안
위암,위암
위염,위염
위조,위조
유가,유까
유감,유감
유골,유골
유도,유도
유동,유동
유래,유래
유례,유ː례
유사,유ː사
유세,유ː세
유아,유아
유전,유전
유출,유출
유포,유포
유해,유ː해
유효,유ː효
유희,유히
육아,유가
율동,율똥
융합,융합
